Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-01-31,51743.43,55929.47,51608.44,55232.32,1099959644
2017-02-28,55603.28,59844.93,55194.67,58300.37,1240027967
2017-03-31,58679.1,60631.65,57558.86,57911.31,1711498067
2017-04-30,58258.3,62039.43,58166.29,61644.56,1071184136
2017-05-31,61932.93,62666.49,59143.38,60092.07,1228213541
2017-06-30,60286.68,62096.24,59859.02,61018.36,849087283
2017-07-31,61126.43,62853.78,60619.69,62595.76,742069801
2017-08-31,62691.86,65204.27,61675.81,64973.76,1496174871
2017-09-30,64972.34,65611.21,63498.26,64289.69,1014557754
2017-10-31,64552.98,66053.82,62968.85,64866.57,1070063640
2017-11-30,65020.01,65633.77,62214.08,62440.31,1003721652
2017-12-31,62683.89,64069.86,61631.16,63746.2,901075919
2018-01-31,63988.33,67933.05,63269.89,66048.17,834732734
2018-02-28,66221.11,66524.54,61686.93,61703.18,726350137
2018-03-31,61586.44,62264.72,57947.92,58377.42,821655084
2018-04-30,58375.85,61008.88,58173.3,59932.46,735204298
2018-05-31,59953.59,60874.54,57043.6,57282.73,1009659005
2018-06-30,57295.48,59699.84,55124.54,55954.44,857192099
2018-07-31,55490.11,60378.92,55202.31,59964.47,741922746
2018-08-31,59969.04,61604.01,58117.88,60201.08,996083076
2018-09-30,60218.66,60840.72,56858.6,58974.76,1376239094
2018-10-31,59152.37,59647.34,54027.32,55312.71,845219644
2018-11-30,56001.09,58412.94,54866.97,58203.39,1332417381
2018-12-31,58933.32,59707.73,56655.36,57690.5,1085519467
2019-01-31,57494.06,61128.08,57090.34,60367.42,838306824
2019-02-28,60455.3,61402.29,59276.26,59903.7,778768045
2019-03-31,60229.65,61091.6,59178.82,59668.03,773283285
2019-04-30,60060.64,62009.9,59912.71,60145.5,606928278
2019-05-31,60086.35,60145.15,55999.93,57909.95,761448616
2019-06-30,57829.53,60536.87,57524.06,60187.43,771721156
2019-07-31,60938.78,61089.67,59393.13,59670.6,785402987
2019-08-31,59512.63,59755.35,54702.14,56739.53,710500097
2019-09-30,56861.56,58525.39,55982.14,57320.3,864901568
2019-10-31,57245.86,58628.93,55086.12,57783.02,727179034
2019-11-30,58294.43,59651.52,57321.76,57502.14,724539741
2019-12-31,57643.57,58132.76,55205.88,57832.88,667355068
2020-01-31,58122.41,59298.22,56371.34,56681.27,781859188
2020-02-29,56550.46,58537.34,48324.78,49276.54,830427815
2020-03-31,50300.61,52562.98,35588.11,41624.62,1703607363
2020-04-30,41146.45,46856.54,40661.03,46117,1486229350
2020-05-31,45636.86,49151.07,43996.33,48127.64,1239352262
2020-06-30,48598.87,51863.82,48350.1,49569.17,1931657502
2020-07-31,49822.43,53332.13,49248.33,50468.16,1556963875
2020-08-31,50659.32,53158.36,50637.27,51629.45,1009271890
2020-09-30,51821.39,51842.05,47763.86,49411.53,1151867501
2020-10-31,49608.46,50491.83,43679.41,44097.98,1120964589
2020-11-30,44413.22,53662.35,44413.22,52639.45,1166997164
2020-12-31,53041.8,57878.17,52816.4,57025.84,1247072457
2021-01-31,57231.39,60520.71,55301.68,56978.68,1329842412
2021-02-28,57333.63,59715.93,56330.97,56970.3,1490857700
2021-03-31,57483.39,60089.6,56230.49,58081.5,1443612447
2021-04-30,58243.34,61719.29,58095.95,60810.55,1049483214
2021-05-31,60977.56,66624.88,59868.05,66284.71,1005014673
2021-06-30,66406.98,68148.54,65203.6,66067.21,900404812
2021-07-31,66284.69,68106.25,65512.09,67637.95,699398095
2021-08-31,67943.76,71111.3,67475.15,70930.15,918017144
2021-09-30,71068.85,72244.3,68713.9,70340.86,1353290924
2021-10-31,69837.38,74968.51,69635.93,73586.32,1388059601
2021-11-30,73807.64,75018.06,65768.62,67814.89,1085835123
2021-12-31,68571.91,69367.22,65750.84,69296.26,980402677
2022-01-31,69667.28,73697.5,65673.3,67418.41,986227264
2022-02-28,67968.28,69062.32,54822.98,61141.35,1062063919
2022-03-31,61478.81,66152.28,56468.97,64900.36,1829914078
2022-04-30,65156.24,66222.27,57577.7,57754.98,929350015
2022-05-31,57632.68,57914.62,52140.5,57432.29,1024270194.5314
2022-06-30,57485.16,57675.23,52274.01,53573.42,713681037.58577
2022-07-31,53471.57,55007.36,51060.69,55007.36,844387484.42901
2022-08-31,55070.99,56858.54,49747.29,50174.09,889731095.17754
2022-09-30,49678.88,51638.56,45597.65,45970.64,955330725.6002
2022-10-31,45840.63,50432.55,45017.5,50432.55,862596680.5
2022-11-30,50837.89,56712.7,50413.08,56058.18,1063226683.8411
2022-12-31,56695.1,57785.23,55447.35,57462.68,738783017.75371
2023-01-31,57578.13,62450.32,57512.46,61286.58,964607524
2023-02-28,61294.61,61791.66,58411.69,60181.4,685276029
2023-03-31,60369.79,61554.09,54837.78,58608.76,932573963
2023-04-30,58827.01,63780.13,58395.22,62948.5,651434230
2023-05-31,63059.44,65992.36,61800.83,62285.97,784938563.72866
2023-06-30,62692.13,68433.53,62533.77,67283.22,741703968.10585
2023-07-31,67512.95,72440.23,65743.85,72268.53,716020497.01581
2023-08-31,72288.12,72293.56,67377.16,68431.46,630458508.35224
2023-09-30,68427.64,69326.48,64082.91,65397.43,710891025.68469
2023-10-31,65427.74,72112.37,63210.28,71582.26,960754040
2023-11-30,72332.75,75287.7,71183.71,74264.07,787151968
2023-12-31,74512.7,79548.69,74328.74,78459.91,686182201
2024-01-31,78685.78,78829.94,73482.75,77416.31,825010889
2024-02-29,76954.85,83797.23,76942.11,81944.56,899336822
